﻿Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,348.8030,NA,6.82780000000000,6.94150000000000,0.00000000000000,0.41910000000000,5.0584,341.9752,6.8278,6.8278,0.0000,0.4418,6.8051,1.0840,5.7211,0.0190,341.9752,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,355.5595,NA,6.75650000000000,6.96460000000000,0.00000000000000,0.35120000000000,5.2665,348.8030,6.7565,6.7565,0.0000,0.4191,6.6886,0.9915,5.6971,-0.1368,348.8030,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,362.6618,NA,7.10230000000000,6.93090000000000,0.00000000000000,0.37970000000000,5.0951,355.5595,7.1023,7.1023,0.0000,0.3512,7.1308,1.0490,6.0818,-0.1744,355.5595,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,330.3901,NA,0.35560000000000,6.92620000000000,0.17440000000000,1.53570000000000,9.5922,330.3459,0.2186,0.0442,0.1744,1.0273,0.5526,0.5412,0.0114,32.9686,330.3459,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,369.3328,NA,6.67100000000000,6.93680000000000,0.00000000000000,0.36190000000000,5.3609,362.6618,6.6710,6.6710,0.0000,0.3797,6.6532,0.9670,5.6862,0.1655,362.6618,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,372.0223,NA,41.63220000000000,34.71300000000000,0.48440000000000,1.47960000000000,2.6730,330.5645,41.9422,41.4578,0.4844,41.6948,1.2426,1.2426,0.0000,-34.4944,330.5645,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,376.5259,NA,7.19310000000000,6.96410000000000,0.00000000000000,2.68340000000000,5.1319,369.3328,7.1931,7.1931,0.0000,0.3619,9.5146,3.3185,6.1961,-0.2931,369.3328,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,383.3485,NA,6.82260000000000,6.93760000000000,0.00000000000000,0.34280000000000,5.2469,376.5259,6.8226,6.8226,0.0000,2.6834,4.4820,0.8545,3.6275,0.2555,376.5259,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,390.2023,NA,6.85380000000000,6.95280000000000,0.00000000000000,0.38840000000000,5.3459,383.3485,6.8538,6.8538,0.0000,0.3428,6.8994,1.0125,5.8869,-0.1302,383.3485,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,397.0868,NA,6.88450000000000,6.94000000000000,0.00000000000000,0.41970000000000,5.4014,390.2023,6.8845,6.8845,0.0000,0.3884,6.9158,1.0353,5.8805,-0.0862,390.2023,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,403.9996,NA,6.91280000000000,6.99590000000000,0.00000000000000,0.38730000000000,5.4845,397.0868,6.9128,6.9128,0.0000,0.4197,6.8804,0.9650,5.9154,-0.1114,397.0868,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,372.5753,NA,0.55300000000000,6.96420000000000,0.32240000000000,1.44130000000000,9.0842,372.5067,0.3910,0.0686,0.3224,0.9952,0.5147,0.5147,0.0000,34.9780,372.5067,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,411.0916,NA,7.09200000000000,6.92030000000000,0.00000000000000,0.41690000000000,5.3128,403.9996,7.0920,7.0920,0.0000,0.3873,7.1216,1.1338,5.9878,-0.0075,403.9996,NA,NA,NA
WindowsTerminal.exe,31340,0x20E7DA60E70,DXGI,1,0,0,Hardware Composed: Independent Flip,409.0427,NA,36.46740000000000,34.74640000000000,0.48630000000000,2.00270000000000,7.3632,372.8977,36.6313,36.1450,0.4863,1.1189,37.0288,2.2112,34.8176,-34.3554,372.8977,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,418.0257,NA,6.93410000000000,6.94460000000000,0.00000000000000,0.42090000000000,5.3233,411.0916,6.9341,6.9341,0.0000,0.4169,6.9381,1.0649,5.8732,0.1474,411.0916,NA,NA,NA
dwm.exe,2032,0x0,Other,-1,0,0,Hardware: Legacy Flip,424.9527,NA,6.92700000000000,6.91360000000000,0.00000000000000,0.36920000000000,5.3099,418.0257,6.9270,6.9270,0.0000,0.4209,6.8753,1.0380,5.8373,0.0205,418.0257,NA,NA,NA
